"happines_score","gdp_per_capita"
4.497000217,1.102710485
4.465000153,1.198210239
4.460000038,0.339233845
4.440000057,1.009850144
4.375999928,0.900596738
4.315000057,0.792221248
4.291999817,0.648457289
4.285999775,0.950612664
4.190000057,0.476180494
4.168000221,0.601765096
4.119999886,0.667224824
4.096000195,0.894651949
4.080999851,0.381430715
4.032000065,0.350227714
4.027999878,0.161925331
3.970000029,0.233442038
3.936000109,0.438012987
3.875,0.375846535
3.79399991,0.401477218
3.766000032,1.122094154
3.657000065,0.431085408
3.644000053,0.305808693
3.602999926,0.368610263
3.592999935,0.591683447
3.532999992,0.119041793
3.506999969,0.24454993
3.494999886,0.305444717
3.470999956,0.368745893
3.348999977,0.511135876
2.904999971,0.091622569
7.587,1.39651
7.561,1.30232
7.527,1.32548
7.522,1.459
7.427,1.32629
7.406,1.29025
7.378,1.32944
7.364,1.33171
7.286,1.25018
7.284,1.33358
7.278,1.22857
7.226,0.95578
7.2,1.33723
7.187,1.02054
7.119,1.39451
6.983,0.98124
6.946,1.56391
6.94,1.33596
6.937,1.30782
6.901,1.42727
6.867,1.26637
6.81,1.04424
6.798,1.52186
6.786,1.06353
6.75,1.32792
6.67,1.10715
6.575,1.27778
6.574,1.05351
6.485,1.06166
6.477,0.91861
6.455,0.9669
6.411,1.39541
6.329,1.23011
6.302,1.2074
6.295,1.55422
6.13,0.76454
6.123,0.74553
6.003,0.63244
5.995,1.16891
5.987,1.27074
5.975,0.86402
5.96,1.32376
5.948,1.25114
5.89,0.68133
5.889,0.59448
5.878,0.75985
5.855,1.12254
5.848,1.18498
5.833,1.14723
5.828,0.59325
5.824,0.90019
5.813,1.03192
5.791,1.12555
5.77,1.12486
5.759,1.08254
5.754,1.13145
5.716,1.13764
5.709,0.81038
5.689,1.20813
5.605,0.93929
5.589,0.80148
5.548,0.95847
5.477,1.00761
5.429,1.15174
5.399,0.82827
5.36,0.63216
5.332,1.06098
5.286,0.47428
5.268,0.65435
5.212,1.02389
5.194,0.59543
5.192,0.90198
5.192,0.97438
5.14,0.89012
5.129,0.47038
5.124,1.04345
5.123,0.92053
5.102,1.15991
5.098,1.11312
5.073,0.70532
5.013,0.73479
4.959,0.87867
4.949,0.83223
4.885,0.89537
4.874,0.82819
4.857,1.15406
4.839,1.02564
4.8,1.12094
4.788,0.59532
4.786,0.39047
4.739,0.88113
4.694,0.39753
4.686,1.0088
4.681,0.79907
4.677,0.98549
4.642,0.92049
4.633,0.54558
4.61,0.271
4.571,0.0712
4.565,0.64499
4.518,0.26673
4.514,0.35997
4.512,0.19073
4.507,0.33024
4.436,0.45407
4.419,0.36471
4.35,0.76821
4.332,0.99355
4.307,0.27108
4.297,0.7419
4.292,0.01604
4.271,0.83524
4.252,0.4225
4.218,1.01216
4.194,0.8818
4.077,0.54649
3.995,0.26074
3.931,0.21102
3.904,0.36498
3.896,1.06024
3.845,0.0694
3.819,0.46038
3.781,0.2852
3.681,0.20824
3.667,0.34193
3.656,0.17417
3.587,0.25812
3.575,0.31982
3.465,0.22208
3.34,0.28665
2.905,0.0153
2.839,0.20868
7.769,1.34
7.6,1.383
7.554,1.488
7.494,1.38
7.488,1.396
7.48,1.452
7.343,1.387
7.307,1.303
7.278,1.365
7.246,1.376
7.228,1.372
7.167,1.034
7.139,1.276
7.09,1.609
7.054,1.333
7.021,1.499
6.985,1.373
6.923,1.356
6.892,1.433
6.825,1.503
6.726,1.3
6.595,1.07
6.592,1.324
6.444,1.159
6.436,0.8
6.375,1.403
6.354,1.286
6.321,1.149
6.3,1.004
6.293,1.124
6.262,1.572
6.253,0.794
6.223,1.294
6.199,1.362
6.198,1.246
6.182,1.206
6.174,0.745
6.149,1.238
6.125,0.985
6.118,1.258
6.105,0.694
6.1,0.882
6.086,1.092
6.07,1.162
6.046,1.263
6.028,0.912
6.021,1.5
6.008,1.05
5.94,1.187
5.893,1.237
5.89,0.831
5.888,1.12
5.886,1.327
5.86,0.642
5.809,1.173
5.779,0.776
5.758,1.201
5.743,0.855
5.697,0.96
5.693,1.221
5.653,0.677
5.648,1.183
5.631,0.807
5.603,1.004
5.529,0.685
5.525,1.044
5.523,1.051
5.467,0.493
5.432,1.155
5.425,1.015
5.386,0.945
5.373,1.183
5.339,1.221
5.323,1.067
5.287,1.181
5.285,0.948
5.265,0.696
5.261,0.551
5.247,1.052
5.211,1.002
5.208,0.801
5.208,1.043
5.197,0.987
5.192,0.931
5.191,1.029
5.175,0.741
5.044,0.549
5.011,1.092
4.996,0.611
4.913,0.446
4.906,0.837
4.883,0.393
4.799,1.057
4.722,0.96
4.719,0.947
4.707,0.96
4.7,0.574
4.681,0.45
4.628,0.138
4.587,0.331
4.559,0.85
4.548,1.1
4.534,0.38
4.519,0.886
4.509,0.512
